Phylum	Class	Order	Family	Genus	Sample Size	Min COG %	Max COG %	Average Genome Size	Min Genome Size	Max Genome Size	Average Gene Count	Average Genes in COG	Average CRISPRs	Slope	Intercept	R squared	p-value	Standard Error
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	80	10.21	79.31	3267692.7125	2639223	4230529	3199.375	67.064125	1.175	-0.43871273417641377	100.95062960377928	0.16477573981394583	0.0001871489533870434	0.11183760402572553
Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	105	47.65	87.63	6565031.733333333	5805581	7359146	6113.942857142857	76.8924761904762	0.4857142857142857	-0.026379875456784767	79.24580250707832	0.0005076595507180874	0.8195355527166237	0.11533406072301872
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	20	49.21	76.09	3216656.55	2816858	3974949	3411.55	61.19350000000001	1.2	-0.4707322805610243	99.28666983848237	0.2632219322677974	0.02070144373511197	0.18562866308769405
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	75	62.52	82.05	5071972.16	3796573	6820941	4702.2266666666665	71.12866666666667	0.7733333333333333	-0.07204347267133376	76.48573525439856	0.02519336623615675	0.17378430926767924	0.05245046546196807
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	1269	31.47	78.06	4004401.1552403467	3571990	4390137	3961.111899133176	64.91969267139481	0.5918045705279747	-0.40950469780062415	102.27208247037302	0.1443011870700337	7.8367079951341e-45	0.028015352657889524
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	45	63.96	86.41	2318447.6222222224	2127148	2501959	2366.222222222222	75.89911111111113	1.6	-0.0513860920369748	80.66081835325282	0.0008234914502598842	0.8515636958037416	0.27296245957314386
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	190	57.71	80.5	4699499.705263158	3980543	5282246	4460.531578947369	71.77457894736837	0.5578947368421052	-0.1744055484428958	87.29106234294765	0.04310067968662854	0.004050991888184229	0.05993388582558311
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	22	56.79	74.92	4817458.863636363	3971756	5326151	4704.318181818182	68.43545454545455	0.5	0.20045215118075035	50.30472576137234	0.2524410001135611	0.017171601048588014	0.07713269656590017
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	76	41.72	87.51	2223938.2763157897	1918287	2687710	2237.6315789473683	77.27421052631583	1.513157894736842	0.16899943107318674	63.29039890083344	0.01305193899647786	0.32576431681746165	0.17083585051229172
Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	108	59.39	85.17	5529443.675925926	4679163	6667127	5344.537037037037	79.34481481481482	0.09259259259259259	-0.16991559038178528	93.43692205497663	0.06863037650926467	0.006165632279090415	0.060797138646391
Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	26	65.29	85.62	4167933.423076923	3772970	4443529	3903.423076923077	80.015	0.5	0.0733776419203359	73.13233700249647	0.0038614610244522805	0.7629840441063611	0.24057039078193987
Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	49	8.13	83.66	3689585.4897959186	2081251	4928223	3571.2244897959185	68.67428571428569	1.0612244897959184	0.17991851765255507	55.204425440583435	0.040631372833869785	0.16486810214324	0.12752312399427881
Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	44	34.36	81.1	4341731.7272727275	4037340	4760779	4089.1136363636365	71.49045454545454	0.25	-0.7181708198862884	136.98614410175963	0.15516621501659106	0.008154480487444498	0.25857716126248836
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	23	63.62	78.09	3021244.565217391	2449438	3692460	2966.6521739130435	71.16304347826085	0.17391304347826086	0.09826194363267778	63.12305487532608	0.04879679900404643	0.31110615073954195	0.0946709396120403
Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	64	56.88	79.27	4594150.3125	3728455	5159414	4074.359375	67.198125	0.25	-0.01597793907210665	68.62086513640357	0.00030569150905369663	0.8909312383289499	0.11604243621069765
Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	17	70.53	82.0	5728377.411764706	4186064	6890726	5671.176470588235	76.27235294117648	0.11764705882352941	0.09629952202765539	68.26681032132831	0.10637488389024523	0.20138631440753033	0.0720670318765956
